method,cycle,map_id,plan_time_sec,coverage_high_info,coverage_weighted,coverage_global,sensor_on_ratio_head,iters_used,init_loss,final_loss
objective_ergodic,0,1,6.136172458063811,0.003225261578336358,0.6650155186653137,0.03,0.1,320,56.654788970947266,26.59661102294922
objective_ergodic,1,1,2.586700582993217,0.02030344493687153,0.8068888783454895,0.02,1.0,180,33.106258392333984,29.566017150878906
objective_ergodic,2,8,4.7533671669662,1.6967824551841977e-32,0.1598188728094101,0.025,0.35,320,52.937255859375,33.433685302734375
objective_ergodic,3,12,4.517862208071165,0.0016571092419326305,0.6855747103691101,0.02,0.05,320,58.55665969848633,26.45104217529297
objective_ergodic,4,12,2.6087040420388803,0.012237143702805042,0.7393565773963928,0.0125,0.8,180,33.67949676513672,30.176559448242188
objective_ergodic,5,17,5.542499084025621,2.1822037524543703e-05,0.32993635535240173,0.0125,0.15,320,59.05302810668945,25.217483520507812
objective_ergodic,6,15,4.423194958944805,8.129973139148206e-07,0.49235087633132935,0.02,0.55,320,62.8653564453125,32.0828742980957
objective_ergodic,7,15,2.956800833926536,6.767844752175733e-05,0.4104744493961334,0.02,0.95,180,44.31687927246094,35.60009765625
objective_ergodic,8,9,5.5649677499895915,1.3389582336453687e-35,0.23290708661079407,0.0275,0.1,320,31.64996337890625,28.258384704589844
objective_ergodic,9,3,4.8577860000077635,0.0,0.47435617446899414,0.0225,0.2,320,54.391841888427734,25.57086181640625
frontier,0,1,0.009758207947015762,1.8328083426811964e-27,0.5804185271263123,0.005,0.0,0,0.0,0.0
frontier,1,1,0.04114270897116512,1.7420531310978256e-27,0.5804185271263123,0.0025,0.0,0,0.0,0.0
frontier,2,8,0.008481041993945837,1.3708633161968464e-07,0.44756096601486206,0.0025,1.0,0,0.0,0.0
frontier,3,12,0.01657616696320474,8.408093987969576e-28,0.5377367734909058,0.0025,0.0,0,0.0,0.0
frontier,4,12,0.01342362491413951,7.9262609826228885e-28,0.5377367734909058,0.0025,0.0,0,0.0,0.0
frontier,5,17,0.01456366607453674,3.5331791497716324e-28,0.4587002694606781,0.0025,0.0,0,0.0,0.0
frontier,6,15,0.008438208024017513,5.0184834784952845e-27,0.49030184745788574,0.0025,0.0,0,0.0,0.0
frontier,7,15,0.008002166985534132,4.8265048557088205e-27,0.49030184745788574,0.0025,0.0,0,0.0,0.0
frontier,8,9,0.007674583001062274,1.9596219178602547e-12,0.4642731249332428,0.0025,1.0,0,0.0,0.0
frontier,9,3,0.008237999980337918,4.700056521755869e-08,0.48792070150375366,0.0025,0.0,0,0.0,0.0
probabilistic,0,1,0.01899837504606694,2.198268148177653e-26,0.6920109987258911,0.0075,0.0,0,0.0,0.0
probabilistic,1,1,0.011657750001177192,3.7145264466720844e-27,0.6636213064193726,0.0125,0.0,0,0.0,0.0
probabilistic,2,8,0.00926283304579556,0.005137085914611816,0.24904699623584747,0.0075,0.35,0,0.0,0.0
probabilistic,3,12,0.007275708019733429,4.1632942026581896e-35,0.3809618353843689,0.015,0.0,0,0.0,0.0
probabilistic,4,12,0.007221625070087612,1.676449759875304e-17,0.3994399905204773,0.01,0.0,0,0.0,0.0
probabilistic,5,17,0.007150750025175512,7.074989059234829e-14,0.5086596012115479,0.01,0.1,0,0.0,0.0
probabilistic,6,15,0.007394582964479923,8.905905457545771e-10,0.6402729749679565,0.02,0.45,0,0.0,0.0
probabilistic,7,15,0.01769341598264873,5.308238471002369e-08,0.5904842615127563,0.0125,0.0,0,0.0,0.0
probabilistic,8,9,0.008239000104367733,1.067501117985373e-15,0.19545462727546692,0.0225,0.0,0,0.0,0.0
probabilistic,9,3,0.008017458021640778,3.646435516202473e-06,0.42038020491600037,0.01,0.15,0,0.0,0.0
greedy_info,0,1,0.015606333035975695,1.9012994821160382e-30,0.7704488039016724,0.0025,0.0,0,0.0,0.0
greedy_info,1,1,0.01651462505105883,1.9012994821160382e-30,0.7704488039016724,0.0025,0.0,0,0.0,0.0
greedy_info,2,8,0.016382250003516674,4.041415741085075e-05,0.6169509291648865,0.0025,1.0,0,0.0,0.0
greedy_info,3,12,0.016434250050224364,5.605193857299268e-45,0.717182457447052,0.0025,0.0,0,0.0,0.0
greedy_info,4,12,0.01814874995034188,5.605193857299268e-45,0.717182457447052,0.0025,0.0,0,0.0,0.0
greedy_info,5,17,0.016080499975942075,2.802596928649634e-45,0.6182936429977417,0.0025,0.0,0,0.0,0.0
greedy_info,6,15,0.01620225002989173,6.445972935894159e-44,0.6548389196395874,0.0025,0.0,0,0.0,0.0
greedy_info,7,15,0.016503541031852365,6.445972935894159e-44,0.6548389196395874,0.0025,0.0,0,0.0,0.0
greedy_info,8,9,0.0160630838945508,1.1769927965588067e-07,0.6230056285858154,0.0025,1.0,0,0.0,0.0
greedy_info,9,3,0.01597824995405972,1.9896955564036034e-05,0.6334278583526611,0.0025,1.0,0,0.0,0.0
