run_id,figure_file,wall_time_sec,cycle_time_total_sec,sensor_on_threshold,high_info_quantile,goal_hotspot_quantile,goal_distance_weight,goal_w,head_goal_w,path_info_w,coverage_w,speed_w,low_info_fast_w,sensor_bce_w,sensor_off_w,sensor_smooth_w,v_high,v_low,tail_w_opt,discount_rate,seam_vel_w,seam_acc_w,bridge_len,warm_xy_noise_std,head_to_peak_dist_mean,peak_min_dist_mean,high_info_dwell_ratio_mean,sensor_f1_high_info_mean,low_info_on_rate_mean,composite_score,rank
1,run_001.png,47.06549692153931,47.06429481506348,0.8,0.8,0.82,0.18,3.0,10.0,1.25,0.8,0.4,0.55,2.2,1.8,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.4208838567137718,0.17520232405513525,0.2424999992363155,0.4821048484797731,0.29684631211410867,0.5151076937345834,29
2,run_002.png,30.22288680076599,30.221787214279175,0.8,0.8,0.82,0.18,3.0,10.0,1.25,0.8,0.4,0.55,2.2,2.4,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.42043523862957954,0.17456475365906954,0.2374999951571226,0.47551442606220456,0.30921040450684156,0.4973893474439318,34
3,run_003.png,27.98181390762329,27.980921268463135,0.8,0.8,0.82,0.18,3.0,10.0,1.25,0.8,0.4,0.55,2.2,3.0,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.4206445701420307,0.17644926439970732,0.24499999918043613,0.48621321397926764,0.2897318361690915,0.5202235705879891,28
4,run_004.png,27.443210124969482,27.44158935546875,0.8,0.8,0.82,0.18,3.0,10.0,1.25,1.1,0.4,0.55,2.2,1.8,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.4201319180428982,0.173336585983634,0.23249999759718776,0.4573081040822977,0.3157419977865434,0.48001660215641795,37
5,run_005.png,31.563042163848877,31.56178379058838,0.8,0.8,0.82,0.18,3.0,10.0,1.25,1.1,0.4,0.55,2.2,2.4,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.42018987983465195,0.17343137878924608,0.2425000029616058,0.472152029050614,0.3066056922295351,0.5341852577672386,24
6,run_006.png,27.306971788406372,27.305333375930786,0.8,0.8,0.82,0.18,3.0,10.0,1.25,1.1,0.4,0.55,2.2,3.0,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.4209071025252342,0.1744883917272091,0.2425000029616058,0.4630344643944005,0.2996275956991998,0.5128242026112995,30
7,run_007.png,29.093071937561035,29.090726613998413,0.8,0.8,0.82,0.18,3.0,14.0,1.25,0.8,0.4,0.55,2.2,1.8,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.41638924181461334,0.16933121625334024,0.24000000162050128,0.4641897568422418,0.28944780395685993,0.6062102377089482,14
8,run_008.png,26.90918278694153,26.908771991729736,0.8,0.8,0.82,0.18,3.0,14.0,1.25,0.8,0.4,0.55,2.2,2.4,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.41532302647829056,0.1622334448620677,0.2250000024214387,0.4182201416546768,0.3231054921968788,0.5914942316601355,16
9,run_009.png,28.225152015686035,28.223597764968872,0.8,0.8,0.82,0.18,3.0,14.0,1.25,0.8,0.4,0.55,2.2,3.0,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.41541779413819313,0.16574258171021938,0.2275000000372529,0.4262980030721967,0.31176887421635324,0.5726093530139146,22
10,run_010.png,25.275179862976074,25.27435803413391,0.8,0.8,0.82,0.18,3.0,14.0,1.25,1.1,0.4,0.55,2.2,1.8,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.4153222367167473,0.1641399096697569,0.2274999963119626,0.4106066195453948,0.32655100501739154,0.5796666027744479,17
11,run_011.png,25.277729034423828,25.276893854141235,0.8,0.8,0.82,0.18,3.0,14.0,1.25,1.1,0.4,0.55,2.2,2.4,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.41644370555877686,0.16695959027856588,0.23500000638887286,0.45375370992069286,0.30041653351008635,0.5991098558711239,15
12,run_012.png,25.16030502319336,25.15952968597412,0.8,0.8,0.82,0.18,3.0,14.0,1.25,1.1,0.4,0.55,2.2,3.0,0.02,0.01,0.065,0.9,0.3,12.0,5.0,12,0.003,0.41572120040655136,0.1646591043099761,0.2275000000372529,0.4159576982157628,0.3238570744753597,0.5729842997084693,21
