combo_idx,HEAD_GOAL_W,ORDER_W_SCALE,COVERAGE_W,SPEED_W,SENSOR_BCE_W,GOAL_DISTANCE_WEIGHT,head_dist_h1_at_tau,mean_hotspot_coverage_dist,high_info_dwell_ratio,high_info_dwell_area_norm,low_info_idle_rate,sensor_f1_high_info,split_jump_metric,head_success_rate,mean_cycle_time_sec,mean_iterations_used,composite_score
14,5.0,0.9,0.55,0.55,0.45,0.6,0.3566131927073002,0.1377546532700459,0.27500000037252903,0.9166666314833709,0.5027777777777778,0.2828054298642534,0.036891408322844654,0.0,16.181460678577423,500.0,0.5751319247630002
15,5.0,0.9,0.55,0.55,0.45,0.8,0.3566131927073002,0.1377546532700459,0.27500000037252903,0.9166666314833709,0.5027777777777778,0.2828054298642534,0.036891408322844654,0.0,15.06160980463028,500.0,0.5751319247630002
12,5.0,0.9,0.55,0.45,0.45,0.6,0.3566133566200733,0.1377547481097281,0.27500000037252903,0.9166666314833709,0.5027777777777778,0.2828054298642534,0.036891450494294986,0.0,16.82498437166214,500.0,0.5751305723051556
13,5.0,0.9,0.55,0.45,0.45,0.8,0.3566133566200733,0.1377547481097281,0.27500000037252903,0.9166666314833709,0.5027777777777778,0.2828054298642534,0.036891450494294986,0.0,16.045366168022156,500.0,0.5751305723051556
10,5.0,0.9,0.45,0.55,0.45,0.6,0.356827549636364,0.137836247527351,0.27500000037252903,0.9166666314833709,0.5027777777777778,0.2828054298642534,0.03692330376361497,0.0,16.476504802703857,500.0,0.5737913123774327
11,5.0,0.9,0.45,0.55,0.45,0.8,0.356827549636364,0.137836247527351,0.27500000037252903,0.9166666314833709,0.5027777777777778,0.2828054298642534,0.03692330376361497,0.0,16.581840813159943,500.0,0.5737913123774327
8,5.0,0.9,0.45,0.45,0.45,0.6,0.3568277582526207,0.13783631101250648,0.27500000037252903,0.9166666314833709,0.5027777777777778,0.2828054298642534,0.036923354055034,0.0,16.182134985923767,500.0,0.5737897415854759
9,5.0,0.9,0.45,0.45,0.45,0.8,0.3568277582526207,0.13783631101250648,0.27500000037252903,0.9166666314833709,0.5027777777777778,0.2828054298642534,0.036923354055034,0.0,16.08737748861313,500.0,0.5737897415854759
6,4.5,0.9,0.55,0.55,0.45,0.6,0.2910149432718754,0.25318569131195545,0.06250000093132257,0.2083333281593192,0.35625,0.13636363636363635,0.03562035283539444,0.25,15.263830959796906,500.0,0.500398921866001
7,4.5,0.9,0.55,0.55,0.45,0.8,0.2910149432718754,0.25318569131195545,0.06250000093132257,0.2083333281593192,0.35625,0.13636363636363635,0.03562035283539444,0.25,15.075159251689911,500.0,0.500398921866001
4,4.5,0.9,0.55,0.45,0.45,0.6,0.29101487621665,0.25318571211149293,0.06250000093132257,0.2083333281593192,0.35625,0.13636363636363635,0.03562037809751928,0.25,15.291056752204895,500.0,0.5003987236333038
5,4.5,0.9,0.55,0.45,0.45,0.8,0.29101487621665,0.25318571211149293,0.06250000093132257,0.2083333281593192,0.35625,0.13636363636363635,0.03562037809751928,0.25,16.136954724788666,500.0,0.5003987236333038
0,4.5,0.9,0.45,0.45,0.45,0.6,0.2912507727742195,0.25341650005429983,0.06250000093132257,0.2083333281593192,0.35625,0.13636363636363635,0.03567886172095314,0.25,15.4624804854393,500.0,0.49832293764445945
1,4.5,0.9,0.45,0.45,0.45,0.8,0.2912507727742195,0.25341650005429983,0.06250000093132257,0.2083333281593192,0.35625,0.13636363636363635,0.03567886172095314,0.25,15.589730203151703,500.0,0.49832293764445945
